,Opportunity Name,Opportunity Unique Identifier,Bridge Name,Country,Level 3 Government,Level 4 Government,Stage,Sub-Stage,Individuals Directly Served,River Name,Site Validation,Proposed Bridge Location (GPS) (Latitude),Proposed Bridge Location (GPS) (Longitude),Reason site not valid,Site Validation Comments,Flag for Rejection,Rejection Reason,River crossing deaths in last 3 years,Incident descriptions,Days per year river is flooded,Flood duration during rainy season,Notes on social information,Width of River During Flooding (m),Nearest all-weather crossing point,360° with site description video on Box,Health access blocked by river,Education access blocked by river,Market access blocked by river,Other access blocked by river,GPS (Longitude),GPS (Latitude),Waterway or Obstacle Classification,Transportation Route Classification,Environment Classification,Form: Created Date,Level 1 Government,Level 2 Government,geometry,latitude,longitude,priority
356,Côte d'Ivoire - Akanzakro 6 - 1042655,1042655,Akanzakro 6,Côte d'Ivoire,Bouaké,Akanzakro,Identified,,,Kanmlé,Not applicable,7.617831,-5.096018,,la communauté fait la lessive dans cette rivière,No,,0,0,120.0,3,"Bouaké, Bouaké, Akanzakro,en bordure de la rivière, 1 homme. Katièpli est de campement de 3 familles",8.0,En Amont de Akanzakro à katièpli en 12 km,Non,,École Primaire - Primary;Collège ou Université - University,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.096018,7.617831,River,motorcycle accessible path,Peri-urban,10/30/22,Gbêkê,Bouaké,POINT (-5.096018 7.617831),7.617831,-5.096018,no
357,Côte d'Ivoire - Lokassou Loka 4 - 1043805,1043805,Lokassou Loka 4,Côte d'Ivoire,Djébonoua,Lokassou (Bassin de Assengou),Identified,,,Loka 4,Not applicable,7.563199,-5.051957,,Cette traversée va permettre aux élèves d'éviter les accidents répétés de la grande voie. Ils accéderont en toute sécurité au collège,No,,0,0,120.0,14,"Bouaké, Djébonoua, Assouakro et Assouakro. En bordure du site en présence de deux membres de la communauté. Le site n'est pas trop utilisé mais la communauté souhaite avoir pont pour la sécurité des enfants pour le futur collège",34.0,En Aval par le bitume en 400m,Non,,Collège ou Université - University,Feme - Farms,,-5.051957,7.563199,swamp (water year round),Walking path,Rural,12/9/22,Gbêkê,Bouaké,POINT (-5.051957 7.563199),7.563199,-5.051957,no
358,Côte d'Ivoire - Assouakro Gomoba 3 - 1043804,1043804,Assouakro Gomoba 3,Côte d'Ivoire,Djébonoua,Assouakro,Identified,,,Gomoba 3,Not applicable,7.41404,-5.083094,,La traversée mène au champ. Le village le proche est M'Bam,No,,0,0,120.0,14,"Bouaké, Djébonoua, Assouakro et Assouakro,.En bordure du site en présence du membre GSC de Assouakro .la communauté traverse pour des visites familiales et des funérailles",116.0,En Amont par le bitume en 3km,Non,,,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.083094,7.41404,River; swamp (water year round),Walking path,Rural,12/9/22,Gbêkê,Bouaké,POINT (-5.083094 7.41404),7.41404,-5.083094,no
359,Côte d'Ivoire - Badio-kouamékro Akoupangbokro - 1044720,1044720,Badio-kouamékro Akoupangbokro,Côte d'Ivoire,Brobo,Badio-kouamékro,Identified,,,Forkor,Not applicable,7.671271,-4.840075,,Le site est utilisé par les véhicules,No,,0,0,120.0,30,"Bouaké, Brobo, en bordure du site en présence d'un membre de la communauté.la communauté traverse pour des visites familiales et des funérailles.",25.0,Pas d'autre traversée,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;Collège ou Université - University,Marché hebdomadaire - Market (weekly);Feme - Farms,"Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.840075,7.671271,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,2/4/23,Gbêkê,Bouaké,POINT (-4.840075 7.671271),7.671271,-4.840075,no
360,Côte d'Ivoire - Koblékro -kahankro - 1042411,1042411,Koblékro -kahankro,Côte d'Ivoire,Commune de Bouaké,Koblékro,Identified,,,Ayawakanou,Not applicable,7.711596,-4.935139,,Ancien site ou les véhicules passaient IL y a 24 ans.maintenant utilisé uniquement par les piétons .,No,,0,0,60.0,3,Quand la rivière n`est pas inondée .on traverse à pied.car IL y a un buzz sous terre.,32.0,En Amont de N`Ndrikro à yapokouakoukro et enfin Kahankro.En 14 km,Non,Hôpital - Hospital,,,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc)",-4.935139,7.711596,River,motorcycle accessible path,Rural,10/20/22,Gbêkê,Bouaké,POINT (-4.935139 7.711596),7.711596,-4.935139,no
361,Côte d'Ivoire - Fahris_Oko 4 - 1042546,1042546,Fahris_Oko 4,Côte d'Ivoire,Commune de Bouaké,Fahris_Oko (Kahankro),Identified,,,Fôkôdan,Not applicable,7.766534,-4.931996,,Un basfond traversée par une rivière appelée Fôkôdan.cette rivière est le versant de deux rivière. Ce basfond est utilisé pour les cultures de riz .,No,,0,5 blessés et maladies parasitaires,90.0,30 jours,"Bouaké, Commune Bouaké, Fahris_Oko, en Bordure de la rivière, 1 homme.en traversant on va à Affouékro",32.0,"En Amont de Fahris_Oko, Kahankro et Affouékro en 15 km",Non,,,Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.931996,7.766534,River; swamp (water year round),Walking path,Rural,10/24/22,Gbêkê,Bouaké,POINT (-4.931996 7.766534),7.766534,-4.931996,no
362,Côte d'Ivoire - Akanzakro 2 - 1042624,1042624,Akanzakro 2,Côte d'Ivoire,Bouaké,Akanzakro,Identified,,,Gogo 2,Not applicable,7.635774,-5.111906,,Cette rivière précède la rivière Gogo .Des véhicules traversent pour aller prendre du sable à la carrière mais c'est temporaire. La communauté veut un pont piéton .,No,,0,2 blessés,90.0,30,"Bouaké, Bouaké, Akanzakro, en bordure de la rivière, 1 homme .la rivière est traversée pour aller au village de Dohoun Bêndê kouassikro",14.0,"En Amont de Akanzakro à Dohoun,en passant l'autoroute :15km.",Non,Hôpital - Hospital;Pharmacie - Pharmacy,,Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc)",-5.111906,7.635774,River,motorcycle accessible path,Peri-urban,10/27/22,Gbêkê,Bouaké,POINT (-5.111906 7.635774),7.635774,-5.111906,no
363,Côte d'Ivoire - Koblékro-Koblékro - 1042412,1042412,Koblékro-Koblékro,Côte d'Ivoire,Commune de Bouaké,Koblékro,Identified,,,MLANKOUADIOKRO,Not applicable,7.707892,-4.930695,,"La de l,eau est Forte quand c`est remplit.il un buzz avant mais emporté par l,eau",No,,0,0,60.0,2,,22.0,"En Amont,N`drikro,yapokouakoukro,driers,, Kahankro. A 13 km",Non,Hôpital - Hospital,,,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc)",-4.930695,7.707892,River,Walking path,Rural,10/20/22,Gbêkê,Bouaké,POINT (-4.930695 7.707892),7.707892,-4.930695,no
364,Côte d'Ivoire - Badio-koumékro Abouahakro - 1044718,1044718,Badio-koumékro Abouahakro,Côte d'Ivoire,Brobo,Badio-kouamékro,Identified,,,Souglou,Not applicable,7.682079,-4.837183,,Pas d'eau car nous sommes en saison sèche,No,,0,02 décès il y a 10 ans de cela et des blessés durant la saison pluvieuse,120.0,30,"Bouaké, Brobo Badio-Kouamékro,en bordure du site en présence d'un membre de la communauté.la communauté traverse pour des visites familiales et pour les funérailles. La traversée se fait à pied.",45.0,"En Aval par N'gouankro, en 5km",Non,,,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.837183,7.682079,River,Walking path,Rural,2/4/23,Gbêkê,Bouaké,POINT (-4.837183 7.682079),7.682079,-4.837183,no
365,Côte d'Ivoire - Ikrakro-TB - 1044796,1044796,Ikrakro-TB,Côte d'Ivoire,Brobo,Kirakro,Identified,,,TB,Not applicable,7.79612,-4.622425,,Ce site est traversé par les véhicules,No,,0,2 blessés,120.0,30,"Bouaké, Brobo, kirakro, en bordure du site en présence du président des jeunes. La communauté traverse pour des visites familiales et des funérailles.",25.0,En Amont par le village de Satamansokro en 15km,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.622425,7.79612,River,graded road / marram - one lane,Rural,2/13/23,Gbêkê,Bouaké,POINT (-4.622425 7.79612),7.79612,-4.622425,no
366,Côte d'Ivoire - Kakabo-Bouakro - 1044797,1044797,Kakabo-Bouakro,Côte d'Ivoire,Brobo,Kakabo,Identified,,,Blokoto,Not applicable,7.575685,-4.743138,,Pas d'eau car nous sommes en saison sèche,No,,0,0,120.0,30,"Bouaké, Brobo, kakabo. En bordure du site en présence du président des jeunes. La communauté traverse pour accéder d'abord à Bouakro et en suite à Brobo où se trouve les collèges.la communauté pour des visites familiales et des funérailles.",49.0,En Aval par Yapikro en 10 km pour accéder à Bouakro,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;Collège ou Université - University,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.743138,7.575685,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,2/13/23,Gbêkê,Bouaké,POINT (-4.743138 7.575685),7.575685,-4.743138,no
367,Côte d'Ivoire - Kakabo-Bouakro 2 - 1044800,1044800,Kakabo-Bouakro 2,Côte d'Ivoire,Brobo,Kakabo,Identified,,,Balonman,Not applicable,7.583456,-4.735217,,Deux troncs d arbre couvre le trou. cette eau se déverse dans le barrage nommé Ekpô.,No,,0,0,120.0,3,"Bouaké, Brobo, kakabo. En bordure du site en présence du président des jeunes. La communauté traverse pour des visites familiales et des funérailles.",34.0,En Aval par le village Yapikro en 10km,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;Collège ou Université - University,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.735217,7.583456,River,non-graded road or car/vehicle accessible path,Rural,2/13/23,Gbêkê,Bouaké,POINT (-4.735217 7.583456),7.583456,-4.735217,no
368,Côte d'Ivoire - Kirakro-Flôdôbo - 1044799,1044799,Kirakro-Flôdôbo,Côte d'Ivoire,Brobo,Kirakro,Identified,,,Bouê,,7.774996,-4.570664,,Ce site est traversée par les véhicules,No,,0,0,120.0,30,"Bouaké, Brobo, kirakro. En bordure du site en présence du président des jeunes. La communauté traverse pour des visites familiales et des funérailles.",34.0,En Amont par une piste du village en 3km,Non,Hôpital - Hospital,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché hebdomadaire - Market (weekly);Feme - Farms,,-4.570664,7.774996,"mudflat (low point with stagnant water, seasonally)",graded road / marram - one lane,Rural,2/13/23,Gbêkê,Bouaké,POINT (-4.570664 7.774996),7.774996,-4.570664,no
369,Côte d'Ivoire - Kirakro-Awêbo - 1044795,1044795,Kirakro-Awêbo,Côte d'Ivoire,Brobo,Kirakro,Identified,,,Allêtui,Not applicable,7.772197,-4.562925,,Le village kirakro est le dernier village de la Sous préfecture de Brobo.il fait frontière avec le village de Awêbo de la sous préfecture de Kondossou départements de N'Bahiakro,No,,0,0,120.0,3,"Bouaké, Brobo, kirakro. En bordure du site en présence du président des jeunes de Kirakro.",43.0,en Amont par le village de Ahouyanfoutou en 15km puis on atteint le village de Awêbo,Non,,École Primaire - Primary,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.562925,7.772197,"mudflat (low point with stagnant water, seasonally)",Walking path,Rural,2/13/23,Gbêkê,Bouaké,POINT (-4.562925 7.772197),7.772197,-4.562925,no
370,Côte d'Ivoire - Kakabo-Bouakro - 1044798,1044798,Kakabo-Bouakro,Côte d'Ivoire,Brobo,Kakabo,Identified,,,Fêtê n'da,Not applicable,7.585982,-4.730425,,Ce site est traversée par les véhicules,No,,0,0,120.0,7,"Bouaké, Brobo, kakabo.En bordure du site en présence du président des jeunes. La communauté traverse pour des visites familiales et des funérailles.",31.0,"En Aval par Yapikro en 8 km,puis on accède à Bouakro",Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;Collège ou Université - University,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.730425,7.585982,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,2/13/23,Gbêkê,Bouaké,POINT (-4.730425 7.585982),7.585982,-4.730425,no
371,Côte d'Ivoire - Kakabo-yapikro - 1044802,1044802,Kakabo-yapikro,Côte d'Ivoire,Brobo,Kakabo,Identified,,,EKPO,Not applicable,7.555137,-4.744579,,Cette eau se déverse dans le barrage,No,,0,0,180.0,30,"Bouaké, Brobo, Kakabo. En bordure du site en présence du président des jeunes",420.0,En Aval par le village Pronou et enfin Yapikro en 10km,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.744579,7.555137,"River; mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,2/13/23,Gbêkê,Bouaké,POINT (-4.744579 7.555137),7.555137,-4.744579,no
372,Côte d'Ivoire - Kakabo-Bouakro 3 - 1044801,1044801,Kakabo-Bouakro 3,Côte d'Ivoire,Brobo,Kakabo,Identified,,,Notuhui,Not applicable,7.558236,-4.752898,,Pas d'eau car nous sommes en saison,No,,0,0,120.0,3,"Bouaké, Brobo, Kakabo. En bordure du site en présence du président des jeunes. La communauté traverse pour des visites familiales et des funérailles.",28.0,En Amont par Yapikro en 7km pour accéder à Bouakro,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;Collège ou Université - University,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.752898,7.558236,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,2/13/23,Gbêkê,Bouaké,POINT (-4.752898 7.558236),7.558236,-4.752898,no
373,Côte d'Ivoire - Bounda 1 - 1042708,1042708,Bounda 1,Côte d'Ivoire,Brobo,Bounda,Identified,,,Lokabo,Not applicable,7.621922,-4.73989,,L'eau est utilisée pour la lessive.labrive gauche est utilisée pour le maraîcher.cette rivière se trouve dans un basfond,No,,0,0,90.0,30,"Bouaké, Brobo,Bounda, en bordure de la rivière, 2 personnes dont le président du GSC de Bounda et un membre de la communauté.",89.0,En Amont de Bounda village l'école primaire de Bounda en 1km.le village le plus proche est kouadianikro,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary;Collège ou Université - University,Feme - Farms,,-4.73989,7.621922,River; swamp (water year round),Walking path,Rural,11/1/22,Gbêkê,Bouaké,POINT (-4.73989 7.621922),7.621922,-4.73989,no
374,Côte d'Ivoire - Zougban Assaradjo - 1043232,1043232,Zougban Assaradjo,Côte d'Ivoire,Brobo,Zougban (Saminikro),Identified,,,Assaradjo,Not applicable,7.702585,-4.756053,,,No,,0,0,90.0,14,"Bouaké, Brobo,Saminikro et Zougban, en bordure du site, en présence du membre GSC de Zougban",56.0,"En Amont, en passant par le carrefour de l'école primaire de Zougban ,puis Saminikro et enfin Tanou-Broukro, cela en 5km",Non,,,Feme - Farms,"Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.756053,7.702585,River,motorcycle accessible path,Rural,11/15/22,Gbêkê,Bouaké,POINT (-4.756053 7.702585),7.702585,-4.756053,no
375,Côte d'Ivoire - Kpékékro trêkê - 1043611,1043611,Kpékékro trêkê,Côte d'Ivoire,Brobo,Kpékékro (Mamini),Identified,,,Trêkê,Not applicable,7.758099,-4.781229,,La traversée mène à Alloukro en 5km,No,,0,0,120.0,5,"Bouaké, Brobo, Mamini et Kpékékro. En bordure du site en présence du Notable de la chefferie de Kpékékro",13.0,"En Amont par le village de Mamini et enfin Alloukro, en 10km",Non,,,Feme - Farms,"Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.781229,7.758099,River,motorcycle accessible path,Rural,12/1/22,Gbêkê,Bouaké,POINT (-4.781229 7.758099),7.758099,-4.781229,no
376,Côte d'Ivoire - Takassou N'doulissou) - 1043446,1043446,Takassou N'doulissou),Côte d'Ivoire,Brobo,Takassou (Bassin de Mamini.),Identified,,,N'doulissou,Not applicable,7.721081,-4.785195,,Cette traversée donne accès au village de Mamini,No,,0,0,90.0,5,"Bouaké, Brobo, Mamini et Takassou. En bordure du site en présence d'un membre de la communauté, la traversée se fait à pied. Il s'agit site où il y a une retenue d'eau durant la saison pluvieuse",41.0,"En Amont, en passant par Mamini Bobokro, Ahouzankro 'Akpékro et enfin Mamini en 6km",Non,Hôpital - Hospital,Collège ou Université - University,Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court)",-4.785195,7.721081,"mudflat (low point with stagnant water, seasonally)",Walking path,Rural,11/23/22,Gbêkê,Bouaké,POINT (-4.785195 7.721081),7.721081,-4.785195,no
377,Côte d'Ivoire - Bobokro Akpor - 1043610,1043610,Bobokro Akpor,Côte d'Ivoire,Brobo,Bobokro (Mamini),Identified,,,Akpor,Not applicable,7.72215,-4.771661,,La traversée mène au village de Tanou-Broukro,No,,0,0,120.0,4,"Bouaké, Brobo, Mamini et Bobokro, en bordure du site en présence de deux membres de la communauté",23.0,"En Amont par le village de Saminikro, et enfin Tanou-Broukro, en 9km",Non,,,Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.771661,7.72215,River,motorcycle accessible path,Rural,12/1/22,Gbêkê,Bouaké,POINT (-4.771661 7.72215),7.72215,-4.771661,no
378,Côte d'Ivoire - Alloukro Sokognan - 1043451,1043451,Alloukro Sokognan,Côte d'Ivoire,Brobo,Alloukro (Bassin de Mamini),Identified,,,Sokognan,Not applicable,7.778846,-4.804688,,"La communauté traverse pour avoir accès au village de kouakro ,en 5km .",No,,0,0,120.0,7,"Bouaké, Brobo, Mamini et Alloukro, en bordure du site en présence d'un membre de la communauté",16.0,"En Aval en passant par le goudron ,ensuite par Siakakro et enfin Kouakro en 9 km",Non,,,Marché journalier - Market (daily);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.804688,7.778846,River; swamp (water year round),Walking path,Rural,11/23/22,Gbêkê,Bouaké,POINT (-4.804688 7.778846),7.778846,-4.804688,no
379,Côte d'Ivoire - Kpékékro N'zuéblé - 1043287,1043287,Kpékékro N'zuéblé,Côte d'Ivoire,Brobo,Kpékékro (Bassin de Mamini),Identified,,,N'zuéblé,Not applicable,7.748135,-4.788641,,"La traversée se fait pour accéder au village Alloukro,en 3km.En Amont l'étendue d'eau est plus vaste mais elle est couverte de végétale",No,,0,0,120.0,3,"Bouaké, Brobo, Kpékékro et Mamini, en bordure du site en présence du membre GSC",18.0,En Amont par Mamini et enfin Alloukro en 7 km,Non,,,Feme - Farms,"Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.788641,7.748135,River,motorcycle accessible path,Rural,11/18/22,Gbêkê,Bouaké,POINT (-4.788641 7.748135),7.748135,-4.788641,no
380,Côte d'Ivoire - Kpékékro Akanzakpassou - 1043615,1043615,Kpékékro Akanzakpassou,Côte d'Ivoire,Brobo,Kpékékro (Bassin de Mamini),Identified,,,Akanzakpassou,Not applicable,7.753021,-4.768603,,Cette traversée mène au village de Bokassi 1,No,,0,0,120.0,4,"Bouaké, Brobo, Mamini et Kpékékro, en présence d'un membre de la communauté",31.0,"En Amont en passant par le village Ahouzankro, Bokassi 1 ,en 6km",Non,,,Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.768603,7.753021,River,Walking path,Rural,12/1/22,Gbêkê,Bouaké,POINT (-4.768603 7.753021),7.753021,-4.768603,no
381,Côte d'Ivoire - Saminikro Akpêliè - 1043513,1043513,Saminikro Akpêliè,Côte d'Ivoire,Brobo,Saminikro,Identified,,,Akpêliè,Not applicable,7.701832,-4.783458,,On traverse pour accéder au village de Djémékro,No,,0,0,120.0,30,"Bouaké, Brobo, Saminikro et Saminikro, en bordure du site en présence du membre GSC",22.0,En Amont de Saminikro à Djémékro en 8km,Non,,,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.783458,7.701832,swamp (water year round),Walking path,Rural,11/27/22,Gbêkê,Bouaké,POINT (-4.783458 7.701832),7.701832,-4.783458,no
382,Côte d'Ivoire - Gomo Gomoba 2 - 1043606,1043606,Gomo Gomoba 2,Côte d'Ivoire,Djébonoua,Gomo(Bassin de Assouakro),Identified,,,Gomoba 2,Not applicable,7.425292,-5.073075,,La traversée mène au village de Assouakro.,No,,0,0,120.0,7,"Bouaké, Djébonoua,Assouakro et Gomo.en bordure du site en présence d'un membre du GSC de Assouakro",26.0,En Aval par le bitume et enfin on arrive à Assouakro en 6km,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.073075,7.425292,River; swamp (water year round),Walking path,Rural,12/1/22,Gbêkê,Bouaké,POINT (-5.073075 7.425292),7.425292,-5.073075,no
383,Côte d'Ivoire - Gomo Gomoba1 - 1043607,1043607,Gomo Gomoba1,Côte d'Ivoire,Djébonoua,Gomo( Bassin Assouakro),Identified,,,Gomoba 1,Not applicable,7.422673,-5.074986,,La traversée mène au village de Gomo,No,,0,0,120.0,3,"Bouaké, Djébonoua, Assouakro et Gomo,En bordure du site en présence du membre GSC de Assouakro",13.0,En Aval par le bitume puis on arrive à Assouakro en 5km,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.074986,7.422673,River,motorcycle accessible path,Rural,12/1/22,Gbêkê,Bouaké,POINT (-5.074986 7.422673),7.422673,-5.074986,no
385,Côte d'Ivoire - Mamini Sapénou - 1043281,1043281,Mamini Sapénou,Côte d'Ivoire,Brobo,Mamini,Identified,,,Sapénou,Not applicable,7.724125,-4.81543,,Cette rivière est traversée pour accéder au village de Abouhokro,No,,0,0,120.0,4,"Bouaké, Brobo, Mamini et Mamini,.en bordure du site en présence du membre GSC de Mamini et un membre de la communauté.",56.0,"En Amont de Mamini, à Somélassou,puis Abouhokro en 7km",Non,,,Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-4.81543,7.724125,River; swamp (water year round),Walking path,Rural,11/18/22,Gbêkê,Bouaké,POINT (-4.81543 7.724125),7.724125,-4.81543,no
