,FID_,Shape__,Niveau,IEP,Region,Departemen,S_pref,Commune,Villages,Nature_loc,Nom_Etab,Coord_x,Coord_y,Source_coo,Statut,Regime_ét,Milieu,Ordre_ens,Type_conf,eco_pt_eau,Elec_ecole,Elec_local,Eligible_c,Coges,T_cp1,TF_cp1,T_cp2,Tf_cp2,T_ce1,Tf_ce1,T_ce2,Tf_ce2,T_cm1,Tf_cm1,T_cm2,Tf_cm2,Aire_total,Aire_Inf_3,Aire_3_5,Aire_Sup_5,Ce2_18_19,Cm1_18_19,Cm2_18_19,Cm1_19_20,Cm2_19_20,Cm2_20_21,Aire,Prj_cm2_21,Densit_prj,Ponde,Clas_den_p,geometry
134,134,Point,PRIMAIRE,BOUAKE N'GATTAKRO,GBÊKÊ,BOUAKE,BOUAKE,0,MAMIAN,Un village,EPP MAMIAN,274940,841507,ecole,Public,-1,2,-1,-1,1,1,1,2,2,16,8,22,9,24,13,30,13,18,8,24,11,134,125,9,0,26.896248,29.584556,22.788265,27.348346,31.836858,30.062882,134,2,0.382967,21,1,POINT (274940 841507)
135,135,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,AKADIAFOUE,Un village,EPP AKADIAFOUE,221386,841698,ecole,Public,-1,2,-1,-1,2,1,2,2,2,61,31,52,25,81,31,50,22,58,27,33,13,335,335,0,0,71.02828,43.607659,53.79021,60.394093,41.088519,55.238594,335,3,0.703676,21,1,POINT (221386 841698)
136,136,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,-1,MEBO,Un village,EPP MEBO,290199,841944,ecole,Public,-1,2,-1,-1,1,1,2,2,2,41,20,44,28,47,20,37,13,38,17,25,6,232,232,0,0,49.356704,38.123574,38.744438,48.250786,41.960461,51.18729,232,3,0.652067,21,1,POINT (290199 841944)
137,137,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,-1,DOUAKANKRO,Un village,EPP DOUAKANKRO,285022,841970,ecole,Public,-1,2,-1,-1,1,1,2,2,2,54,26,61,29,63,36,55,18,48,20,38,12,319,319,0,0,55.244218,46.502727,43.341036,46.897837,42.151243,42.712175,319,3,0.544104,21,1,POINT (285022 841970)
138,138,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,DJAMALAKRO,Un village,EPP DJAMALAKRO,298802,842099,ecole,Public,-1,2,-1,-1,1,1,1,2,2,42,19,50,24,34,13,41,15,39,19,15,9,221,171,50,0,34.996098,38.862894,37.019136,33.767333,39.649768,35.388092,221,2,0.450804,21,1,POINT (298802 842099)
139,139,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,KAABO,Un village,EPP KAABO,230943,842111,ecole,Public,-1,2,-1,-1,1,1,1,2,2,46,26,53,15,48,27,36,17,43,20,37,13,263,263,0,0,47.898958,34.968486,42.473366,45.146207,36.720421,46.192376,263,3,0.588438,21,1,POINT (230943 842111)
140,140,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,SAKASSOU OTTOKOUKRO,Un village,EPP SAKASSOU OTTOKOUKRO,293168,842500,ecole,Public,-1,2,-1,-1,1,1,1,2,2,21,16,19,11,19,15,20,13,24,14,18,1,121,121,0,0,19.323012,18.131497,25.052006,18.378934,18.113352,18.921741,121,1,0.241041,21,1,POINT (293168 842500)
141,141,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,0,AGBANGNASSOU,Un village,EPP AGBANGNASSOU,277946,842572,ecole,Public,-1,2,-1,-1,1,2,2,2,2,46,23,43,24,37,14,37,19,36,17,37,18,236,236,0,0,34.978954,33.682067,35.302008,31.71528,33.294116,31.263713,236,2,0.398264,21,1,POINT (277946 842572)
142,142,Point,PRIMAIRE,BOUAKE N'GATTAKRO,GBÊKÊ,BOUAKE,BOUAKE,0,AKANZANKRO,Un village,EPP AKANZAKRO 1B,267319,842789,ecole,Public,-1,2,-1,-1,1,1,2,2,2,52,26,45,19,37,18,28,11,37,14,26,12,225,187,16,22,35.619556,26.494473,38.258767,32.724429,27.49737,32.706601,203,2,0.416645,21,1,POINT (267319 842789)
143,143,Point,PRIMAIRE,BOUAKE N'GATTAKRO,GBÊKÊ,BOUAKE,BOUAKE,0,AKANZANKRO,Un village,EPP AKANZAKRO 1A,267316,842826,ecole,Public,-1,2,-1,-1,2,1,2,2,2,46,22,39,21,29,16,38,15,19,11,47,17,218,218,0,0,29.600909,34.061213,19.242162,28.243823,33.018315,29.125207,218,2,0.371022,21,1,POINT (267316 842826)
144,144,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,-1,BOUNDA,Un village,EPP BOUNDA,307960,842922,ecole,Public,-1,2,-1,-1,1,1,2,2,2,58,35,60,32,67,25,52,20,53,19,40,17,330,330,0,0,60.687829,48.69642,53.052598,53.360048,49.550293,51.116205,330,3,0.651162,21,1,POINT (307960 842922)
145,145,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,NIAMBRUN,Un village,EPP NIAMBRUN 1,216918,842993,ecole,Public,-1,2,-1,-1,1,1,2,2,2,30,17,34,16,36,15,35,14,32,18,27,18,194,194,0,0,34.771135,33.256888,31.148349,32.136891,34.090158,32.392979,194,2,0.412649,21,1,POINT (216918 842993)
146,146,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,NIAMBRUN,Un village,EPP NIAMBRUN 2,216918,842993,ecole,Public,-1,2,-1,-1,1,1,2,2,2,64,32,47,25,47,25,56,25,41,15,57,24,312,312,0,0,43.847527,50.324041,38.250593,39.401961,48.708996,38.500351,312,2,0.49045,21,1,POINT (216918 842993)
147,147,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,-1,BOUNDA,Un village,EPC SAINT PIERRE,308341,843093,ecole,Privé,-1,2,0,-1,1,2,1,0,1,31,12,16,8,36,16,20,10,18,8,13,5,134,134,0,0,36.56482,21.129514,21.487693,34.918122,24.034601,36.240766,134,2,0.461666,12,1,POINT (308341 843093)
148,148,Point,PRIMAIRE,BOUAKE N'GATTAKRO,GBÊKÊ,BOUAKE,BOUAKE,0,KONGODEKRO,Un village,EPP KONGODEKRO A,275025,843183,ecole,Public,-1,2,-1,-1,2,2,2,2,2,45,22,34,20,51,22,42,23,34,18,27,11,233,186,7,40,49.675499,39.131002,37.972268,45.97402,40.00855,46.219677,193,3,0.588786,21,1,POINT (275025 843183)
149,149,Point,PRIMAIRE,BOUAKE N'GATTAKRO,GBÊKÊ,BOUAKE,BOUAKE,0,KONGODEKRO,Un village,EPP KONGODEKRO B,275025,843183,ecole,Public,-1,2,-1,-1,1,2,2,2,2,35,16,44,21,35,18,62,38,53,25,39,22,268,268,0,0,35.588279,55.819009,52.272254,34.035051,54.547976,35.403216,268,2,0.450996,21,1,POINT (275025 843183)
150,150,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,0,APPIAKRO,Un village,EPP APPIAKRO,252854,843487,ecole,Public,-1,2,-1,-1,1,1,1,2,1,32,15,10,6,37,18,31,8,21,10,15,7,146,146,0,0,31.391582,25.522195,18.392703,25.844583,22.353435,22.635797,146,2,0.288354,18,1,POINT (252854 843487)
151,151,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,SAHEBO,Un village,EPP SAHEBO-BAD,246135,843567,ecole,Public,-1,2,-1,-1,1,2,1,2,2,37,20,27,15,19,11,18,7,19,12,23,11,143,143,0,0,19.963614,16.818017,19.762391,19.400412,17.186275,20.352292,143,2,0.259265,21,1,POINT (246135 843567)
152,152,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,PINDIKRO,Un village,EPP PINDIKRO 2,303718,843984,ecole,Public,-1,2,-1,-1,1,2,1,2,2,45,28,38,16,45,24,27,8,23,11,17,7,195,60,65,70,42.663166,27.003628,26.127022,38.854195,29.327141,38.594633,125,2,0.491651,21,1,POINT (303718 843984)
153,153,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,-1,PINDIKRO,Un village,EPP PINDIKRO,303751,844005,ecole,Public,-1,2,-1,-1,1,2,1,2,2,62,28,53,33,50,21,56,19,50,25,31,8,302,203,99,0,42.421057,46.10461,49.254554,34.925112,41.090824,30.681311,302,2,0.390845,21,1,POINT (303751 844005)
154,154,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,ZEDE KAN,Un village,EPP ZEDE KAN,216846,844068,ecole,Public,-1,2,-1,-1,1,1,2,2,2,46,27,44,22,42,27,38,22,32,16,34,14,236,236,0,0,42.167829,36.726117,30.758178,39.983033,38.103101,41.193603,236,3,0.524759,21,1,POINT (216846 844068)
155,155,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,DIBRI-ASRIKRO,-1,DIBRI-ASRIKRO,Un village,EPP NANGRE,257144,844080,ecole,Public,-1,2,-1,-1,2,1,2,2,2,68,32,56,26,57,26,55,27,57,32,54,24,347,279,51,17,53.484822,48.501406,54.344997,48.048101,46.358104,46.705077,330,3,0.594969,21,1,POINT (257144 844080)
156,156,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,ANGOKOUN-KPANGBASSOU,Un village,EPP ANGOKOUN-KPANGBASSOU,253526,844858,ecole,Public,-1,2,-1,-1,1,1,1,2,2,33,15,38,17,36,20,31,17,38,15,18,9,194,126,68,0,36.949182,31.629267,40.175067,35.669098,34.863795,37.556667,194,2,0.478429,21,1,POINT (253526 844858)
157,157,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,KOFFI KOFFIKRO,Un village,EPP KOFFI KOFFIKRO,295596,845200,ecole,Public,-1,2,-1,-1,1,1,1,2,2,41,24,30,15,31,21,20,11,30,15,21,8,173,173,0,0,33.347678,22.79508,33.298381,33.185735,27.371169,35.907665,173,2,0.457423,21,1,POINT (295596 845200)
158,158,Point,PRIMAIRE,BOUAKE-GONFREVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,TOTOKRO,Un village,EPP TOTOKRO,263663,845232,ecole,Public,-1,2,-1,-1,1,1,2,2,2,47,27,64,31,52,21,60,28,36,12,54,24,313,296,17,0,54.111291,55.504868,38.03321,52.358279,55.724329,54.793051,313,3,0.698001,21,1,POINT (263663 845232)
159,159,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,0,ANOUANZE,Un village,EPP ANOUANZE,279986,845533,ecole,Public,-1,2,-1,-1,1,1,1,2,2,50,27,51,19,54,32,53,19,55,22,29,15,292,292,0,0,50.939558,47.743114,52.983482,46.051229,46.655982,45.182435,292,3,0.575572,21,1,POINT (279986 845533)
160,160,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,DIACOHOU,Un village,EPP DIACOHOU 2,218155,845823,ecole,Public,-1,2,-1,-1,1,1,2,2,2,38,26,58,27,55,34,30,12,28,8,28,10,237,237,0,0,52.04422,28.585217,29.725893,47.118869,29.699597,46.256756,237,3,0.589258,21,1,POINT (218155 845823)
161,161,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,DIACOHOU,Un village,EPP DIACOHOU 1,218114,845824,ecole,Public,-1,2,-1,-1,1,1,2,2,2,81,37,83,31,36,22,42,16,45,23,33,8,320,320,0,0,36.180459,36.799211,43.184594,34.056182,34.999057,34.567312,320,2,0.440348,21,1,POINT (218114 845824)
162,162,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,BEOUMI,0,KONSOU,Un village,EPP NANA N'GUESSAN KOUADIO,211831,846046,ecole,Public,-1,2,-1,-1,1,1,1,2,1,58,30,60,27,60,35,48,19,50,24,45,25,321,321,0,0,53.852038,41.183802,46.13318,46.62373,38.083658,43.443585,321,3,0.553422,18,1,POINT (211831 846046)
163,163,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,SINANVESSOU,Un village,EPP SINANVESSOU 1,293274,846098,ecole,Public,-1,2,-1,-1,1,2,2,2,2,52,21,49,26,60,32,56,40,62,31,28,11,307,307,0,0,60.386179,51.656493,59.24444,57.097058,51.581229,58.404637,307,3,0.744008,21,1,POINT (293274 846098)
164,164,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,SINANVESSOU,Un village,EPP SINANVESSOU 2,293318,846119,ecole,Public,-1,2,-1,-1,1,2,2,2,2,41,18,28,16,37,14,35,24,15,5,16,7,172,172,0,0,38.950686,31.702361,18.730106,37.782131,31.455283,39.432957,172,2,0.502331,21,1,POINT (293318 846119)
165,165,Point,PRIMAIRE,BOUAKE-GONFREVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,BENDEKOUASSIKRO,Un village,EPP BENDEKOUASSIKRO 2,265218,846432,ecole,Public,-1,2,-1,-1,2,2,2,2,2,56,25,34,24,49,23,43,21,46,20,26,14,254,254,0,0,48.491138,40.620525,45.491067,45.438584,41.607554,46.240025,254,3,0.589045,21,1,POINT (265218 846432)
166,166,Point,PRIMAIRE,BOUAKE-GONFREVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,BENDEKOUASSIKRO,Un village,EPP BENDEKOUASSIKRO 1,265253,846433,ecole,Public,-1,2,-1,-1,1,2,2,2,2,37,21,38,19,45,21,41,15,34,13,36,20,231,231,0,0,41.381962,33.755161,29.778662,36.355052,29.564221,34.185855,231,2,0.435489,21,1,POINT (265253 846433)
167,167,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,KOUAKOUAMEKRO,Un village,EPP KOUAKOUAMEKRO,245000,846477,ecole,Public,-1,2,-1,-1,1,2,1,2,1,65,35,50,25,44,25,49,22,39,22,30,16,277,277,0,0,40.917902,44.449927,37.539365,36.70343,43.585604,35.845654,277,2,0.456633,18,1,POINT (245000 846477)
168,168,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,OUESSENZUE,Un village,EPP OUESSENZUE,254904,846907,ecole,Public,-1,2,-1,-1,1,1,1,2,1,18,8,9,4,12,7,6,5,15,8,7,1,67,67,0,0,14.793388,8.492985,17.819706,15.864896,11.692569,18.229306,67,1,0.232221,18,1,POINT (254904 846907)
169,169,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,LOKANOUAN,Un village,EPP LOKANOUAN,247096,846913,ecole,Public,-1,2,-1,-1,1,1,1,2,2,0,0,47,21,23,14,25,12,12,6,16,9,123,123,0,0,28.994596,26.134299,16.232635,31.252475,29.329284,35.782039,123,2,0.455822,21,1,POINT (247096 846913)
170,170,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,ANDOKRO-KOUAKOU,Un village,EPP ANDOKRO-KOUAKOU,244698,847134,ecole,Public,-1,2,-1,-1,2,2,1,2,2,37,18,35,24,24,8,33,19,40,20,24,11,193,193,0,0,29.202415,33.942086,42.967211,31.10211,37.708239,35.520928,193,2,0.452496,21,1,POINT (244698 847134)
171,171,Point,PRIMAIRE,BOUAKE N'GATTAKRO,GBÊKÊ,BOUAKE,BOUAKE,0,N'ZUEKRO,Un village,EPP BALLO N'GUESSAN,270670,847770,ecole,Public,-1,2,-1,-1,1,1,1,2,1,27,10,20,15,21,11,23,13,22,10,24,15,137,137,0,0,20.379252,19.824123,21.349462,18.705143,18.544735,18.513301,137,1,0.235838,18,1,POINT (270670 847770)
172,172,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,BROUKRO,Un village,EPP BROUKRO,298633,847826,ecole,Public,-1,2,-1,-1,1,1,1,2,2,40,14,50,28,50,25,34,14,41,22,48,23,263,221,42,0,47.673994,32.544629,39.291051,43.503436,33.614071,43.130403,263,3,0.549432,21,1,POINT (298633 847826)
173,173,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,BELAKRO,Un village,EPP BELAKRO 2,223339,848184,ecole,Public,-1,2,-1,-1,1,2,2,2,2,46,22,47,25,42,24,31,12,0,0,0,0,166,166,0,0,41.270986,27.742948,1.820801,38.247195,26.813469,38.204983,166,2,0.486688,21,1,POINT (223339 848184)
174,174,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,BELAKRO,Un village,EPP BELAKRO 1,223399,848191,ecole,Public,-1,2,-1,-1,1,2,2,2,2,53,26,48,19,53,28,51,29,46,15,41,15,292,292,0,0,49.194294,45.430295,46.79164,43.900465,44.166751,42.506053,292,3,0.541478,21,1,POINT (223399 848191)
175,175,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,ASSEKRO,Un village,EPP ASSEKRO,234664,848273,ecole,Public,-1,2,-1,-1,1,1,1,2,2,34,18,32,14,46,26,36,17,35,13,25,9,208,208,0,0,46.202115,34.413298,36.637138,43.687556,35.816848,44.79731,208,3,0.570666,21,1,POINT (234664 848273)
176,176,Point,PRIMAIRE,BODOKRO,GBÊKÊ,BEOUMI,LOLOBO,0,ASSEKRO,Un village,EPP ASSEKRO,234664,848273,ecole,Public,-1,2,-1,-1,1,1,2,2,2,40,19,33,15,32,17,34,16,36,22,39,20,214,214,0,0,27.149477,27.992084,31.530347,22.352072,24.516671,19.576905,214,1,0.249387,21,1,POINT (234664 848273)
177,177,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,-1,KOUASSIBLEKRO,Un village,EPP KOUASSIBLEKRO 1,285406,848338,ecole,Public,-1,2,-1,-1,2,2,2,2,2,27,11,31,13,35,16,28,9,30,15,32,15,183,162,21,0,32.257148,25.050983,27.966034,28.607468,24.210996,27.454214,183,2,0.349735,21,1,POINT (285406 848338)
178,178,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,0,KOUASSIBLEKRO,Un village,EPP KOUASSIBLEKRO 2,285403,848361,ecole,Public,-1,2,-1,-1,2,2,2,2,2,38,11,29,15,33,16,30,8,19,8,32,17,181,160,21,0,36.966326,33.69295,23.534051,37.832115,39.632911,42.0408,181,3,0.535552,21,1,POINT (285403 848361)
179,179,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,AFOTOBO,Un village,EPP AFOTOBO 1,228059,848495,ecole,Public,-1,2,-1,-1,2,1,2,2,2,31,18,47,25,42,19,49,25,42,17,34,17,245,245,0,0,39.861662,43.450588,40.036837,36.179952,41.668238,35.606709,245,2,0.453589,21,1,POINT (228059 848495)
180,180,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,ASSENGOU-N'GOTRAN,Un village,EPP AKAMIAN-OUSSOU 2,222370,848540,ecole,Public,-1,2,-1,-1,1,1,2,2,2,60,32,50,21,59,31,42,19,46,15,23,4,280,280,0,0,50.056848,34.578457,40.288777,41.211633,30.285299,36.094919,280,2,0.459808,21,1,POINT (222370 848540)
181,181,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,ASSENGOU-N'GOTRAN,Un village,EPP AKAMIAN-OUSSOU 1,222318,848541,ecole,Public,-1,2,-1,-1,1,2,2,2,2,50,26,43,24,58,31,31,13,45,20,27,6,254,254,0,0,53.56452,27.853986,43.054537,47.46658,27.261439,45.400163,254,3,0.578346,21,1,POINT (222318 848541)
182,182,Point,PRIMAIRE,BOUAKE AIR-France,GBÊKÊ,BOUAKE,BOUAKE,-1,KEKREKOUAKOUKRO,Un village,EPP KEKREKOUAKOUKRO,289967,848604,ecole,Public,-1,2,-1,-1,1,1,2,2,2,35,19,21,13,25,9,27,13,35,18,26,12,169,153,15,1,28.00091,29.224382,36.246966,28.674902,33.499623,31.909899,168,2,0.406496,21,1,POINT (289967 848604)
183,183,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,AFOTOBO,Un village,EPP AFOTOBO 2,228351,848673,ecole,Public,-1,2,-1,-1,1,1,2,2,2,31,14,45,24,41,20,35,15,50,25,51,19,253,253,0,0,34.785267,31.147172,44.962664,28.897509,29.824371,25.906204,253,2,0.330015,21,1,POINT (228351 848673)
184,184,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,EPP AFOTOBO 3,Un village,EPP AFOTOBO 3,228351,848673,ecole,Public,-1,2,-1,-1,1,1,2,2,1,32,17,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,1,0.0,18,1,POINT (228351 848673)
185,185,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,BADIOKOUAMEKRO,Un village,EPP BADIOKOUAMEKRO,296771,848744,ecole,Public,-1,2,-1,-1,1,1,1,2,2,22,12,29,9,32,13,45,22,42,16,37,13,207,207,0,0,31.50557,41.045703,42.507924,29.490462,40.794597,30.103051,207,2,0.383478,21,1,POINT (296771 848744)
186,186,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,-1,GOLIKRO,Un village,EPP GOLIKRO 1,231447,848858,ecole,Public,-1,2,-1,-1,2,1,2,2,2,64,31,48,28,49,22,43,19,33,13,45,26,282,282,0,0,45.672489,39.843261,33.714937,41.020522,40.07868,40.108463,282,3,0.510936,21,1,POINT (231447 848858)
187,187,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,SOUAFOUE,Un village,EPP SOUAFOUE,218750,848936,ecole,Public,-1,2,-1,-1,1,1,2,2,2,46,19,60,26,54,24,39,24,26,9,46,18,271,269,2,0,52.733244,36.550074,29.144723,48.84479,37.397345,49.050885,271,3,0.624852,21,1,POINT (218750 848936)
188,188,Point,PRIMAIRE,BEOUMI 1,GBÊKÊ,BEOUMI,BEOUMI,0,KONGONOUSSOU,Un village,EPP CNO,211950,848940,ecole,Public,-1,2,-1,-1,1,1,2,2,2,55,30,40,22,41,18,27,13,15,4,22,13,200,175,25,0,37.603916,24.893912,15.608732,33.266254,24.858375,31.900119,200,2,0.406371,21,1,POINT (211950 848940)
189,189,Point,PRIMAIRE,BOUAKE-BELLEVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,TANOU-SAKASSOU,Un village,EPP ESSY AMARA,286544,848955,ecole,Public,-1,2,-1,-1,2,2,1,2,1,26,12,21,14,21,4,28,11,30,9,17,8,143,143,0,0,19.73865,24.71787,27.18569,17.806958,23.476023,17.430167,143,1,0.22204,18,1,POINT (286544 848955)
190,190,Point,PRIMAIRE,BOUAKE-GONFREVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,KOLOMBONOUA,Un village,EPP KOLOMBONOUA,261734,849111,ecole,Public,-1,2,-1,-1,1,1,1,2,1,43,19,44,20,55,30,28,12,39,20,38,22,247,237,10,0,53.837906,26.827586,38.70988,49.863112,27.961705,49.934761,247,3,0.636112,18,1,POINT (261734 849111)
191,191,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,ABOLKRO,Un village,EPP ABOLIKRO,242291,849764,ecole,Public,-1,2,-1,-1,1,1,1,2,1,54,25,55,30,54,26,70,36,58,28,44,23,335,251,50,34,48.889632,60.073591,54.830668,42.71592,55.645409,40.335579,301,3,0.513829,18,1,POINT (242291 849764)
192,192,Point,PRIMAIRE,BODOKRO,GBÊKÊ,BEOUMI,LOLOBO,-1,AHOUNZE,Un village,EPP AHOUNZE 1,233362,850014,ecole,Public,-1,2,-1,-1,1,1,2,2,2,53,23,48,17,40,15,47,23,39,22,50,19,277,277,0,0,37.524217,40.915694,35.978678,33.699822,38.350726,32.721694,277,2,0.416837,21,1,POINT (233362 850014)
193,193,Point,PRIMAIRE,BOUAKE-GONFREVILLE,GBÊKÊ,BOUAKE,BOUAKE,0,YAOKOFFIKRO,Un quartier (Ville),EPP YAOKOFFIKRO A,268904,850139,ecole,Public,-1,2,-1,-1,1,2,1,2,2,50,26,50,26,34,14,43,23,32,24,36,16,245,136,82,27,32.43369,37.844583,34.659895,29.533467,36.514585,29.208944,218,2,0.372088,21,1,POINT (268904 850139)
194,194,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,BEOUMI,0,ASSENZE,Un village,EPP ASSENZE,218137,850317,ecole,Public,-1,2,-1,-1,2,1,1,2,2,53,26,34,14,38,22,58,27,33,16,35,17,251,251,0,0,39.158505,51.415446,32.934593,37.582448,49.31524,38.955002,251,2,0.496242,21,1,POINT (218137 850317)
195,195,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,AOUNIANFOUTOU,Un village,EPP AHOUGNANFOUTOU 2,243971,850346,ecole,Public,-1,2,-1,-1,1,2,1,2,2,50,25,29,10,47,23,32,12,18,8,39,22,215,135,80,0,48.716102,33.56294,22.137979,47.216979,37.628827,49.718476,215,3,0.633356,21,1,POINT (243971 850346)
196,196,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,AOUNIANFOUTOU,Un village,EPP AHOUGNANFOUTOU 1,243942,850395,ecole,Public,-1,2,-1,-1,1,2,1,2,2,42,17,37,17,42,21,38,17,38,16,55,25,252,228,13,11,42.808431,37.392343,38.484323,41.041499,39.691452,42.796137,241,3,0.545174,21,1,POINT (243942 850395)
197,197,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,KOUAKOUBLEKRO,Un village,EPP KOUAKOUBLEKRO,244966,850562,ecole,Public,-1,2,-1,-1,2,1,1,2,2,52,24,69,40,39,16,50,26,32,17,25,16,267,267,0,0,35.778953,42.830395,31.798636,31.561387,39.711879,30.087974,267,2,0.383286,21,1,POINT (244966 850562)
198,198,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,BEOUMI,0,N'ZUEDA,Un village,EPP N'ZUEDA,214834,850709,ecole,Public,-1,2,-1,-1,1,1,1,2,2,67,42,50,30,52,24,44,23,39,19,33,14,285,285,0,0,51.036402,40.888633,40.14051,47.472444,41.374316,47.897252,285,3,0.610156,21,1,POINT (214834 850709)
199,199,Point,PRIMAIRE,BODOKRO,GBÊKÊ,BEOUMI,LOLOBO,0,DRIMBO,Un village,EPP HOUPHOUETKRO,233676,850719,ecole,Public,-1,2,-1,-1,1,1,1,2,2,50,25,42,21,28,15,32,17,29,19,23,8,204,204,0,0,29.39309,31.897375,31.38208,28.838045,34.410663,30.858333,204,2,0.3931,21,1,POINT (233676 850719)
200,200,Point,PRIMAIRE,BROBO,GBÊKÊ,BOUAKE,BROBO,0,BONGRABO,Un village,EPP BONGRABO,295128,850812,ecole,Public,-1,2,-1,-1,1,1,1,2,2,21,13,20,8,29,14,0,0,0,0,0,0,70,50,20,0,29.98527,7.217449,6.632919,29.327691,14.588144,31.522569,70,2,0.401561,21,1,POINT (295128 850812)
201,201,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,LANGUIBONOU,-1,ASSIEBLENOU,Un village,EPP ASSIEBLENOU,257171,850969,ecole,Public,-1,2,-1,-1,2,1,1,2,2,113,56,49,23,68,35,42,19,47,33,34,13,353,353,0,0,66.276705,40.130341,47.277311,61.306789,41.638364,61.45503,353,3,0.782867,21,1,POINT (257171 850969)
